x, y, z
-1.513143,0.609623,25.675322
-1.512946,0.608481,25.664215
-1.742659,-0.431964,25.529839
-1.693692,-0.420933,25.442156
-1.477141,0.588908,26.315689
-0.867051,-1.975349,25.600819
-1.507467,-1.811944,25.581715
-0.857805,-1.948660,25.584614
-1.536064,-1.455828,25.732994
-1.290161,-1.695427,25.342018
-1.200191,-1.294126,27.063280
-0.705232,-2.061787,25.980913
-0.974724,0.417612,26.658129
-0.029844,0.277329,26.493334
-1.261135,0.446780,27.107269
-1.265091,0.457726,27.160896
-1.237111,0.450592,27.030605
-1.263632,0.456579,27.135761
-0.886163,-2.364242,26.563221
-0.961296,-1.309633,27.657885
-0.871135,-2.328503,26.507324
-0.736994,-2.206014,26.032524
-0.656687,-0.127515,27.643955
-0.921939,-1.259896,27.493608
-0.686821,-2.099512,25.831102
-1.362573,-1.620258,29.163857
-1.083191,-2.441468,27.224987
-0.693791,-0.132080,27.920319
-1.342551,-1.375653,27.121588
-0.770757,-0.142774,28.397552
-0.929544,-1.308704,27.785645
-0.891361,-1.897021,26.965265
-1.032168,-1.980643,27.091597
-0.854098,-2.143111,27.518423
-0.349259,1.559989,28.007160
-0.871220,-2.338387,26.508760
-0.862255,-2.059631,27.270256
-0.671256,-0.111635,27.779921
-0.387936,-1.941365,27.374466
-1.328811,-0.815028,24.299015
-1.076912,-0.215142,23.995832
-1.612641,0.740142,25.492844
-1.586846,0.700552,25.553955
-1.476019,0.662773,25.525791
-1.695797,0.538260,25.619738
-1.728714,-0.512900,25.407070
-1.647313,0.164410,25.415863
-1.586486,0.677007,25.612703
-1.563766,0.553366,25.753088
-1.572249,0.618525,25.860605
-1.516223,0.610241,25.678766
-0.852850,-1.974130,25.556808
-1.571307,-1.192605,25.942394
-1.399428,-1.815076,25.595306
-1.566537,-2.013090,26.039328
-1.131281,-0.894092,26.681793
-1.124254,0.345279,27.395123
-0.180326,0.243376,26.865345
-0.178547,0.251921,26.826172
-0.281010,0.241146,27.073244
-0.295730,0.242235,27.065454
-1.261786,0.454144,27.135370
-0.302830,0.251635,27.112494
-1.134084,0.199881,28.897402
-0.302382,0.249440,27.085892
-0.304067,0.249302,27.023922
-0.290000,0.245206,26.958673
-0.714073,0.294360,27.634237
-0.811276,-0.037891,27.670378
-0.654222,-0.130448,27.581680
-1.713792,0.455967,28.335459
-0.700072,-0.048048,28.107121
-0.883542,-1.920080,26.922937
-0.816863,-2.003847,27.044464
-0.607731,0.181905,27.210562
