x, y, z
-2.012586,-2.449332,25.988361
-2.408516,-0.081684,26.575062
-1.849109,-0.745410,26.878355
-1.835148,-0.739513,26.859869
-2.092318,-2.845709,25.839689
-1.703143,-0.319242,26.600460
-2.742466,-1.025881,26.337013
-3.051999,-1.426276,26.238106
-3.481590,-0.186409,27.314205
-1.854129,-0.714985,26.916574
-2.814769,-1.326459,26.312313
-2.381865,-1.877034,26.814617
-2.568520,-1.939492,27.091627
-2.064479,-2.839788,25.950830
-3.388670,-0.847402,27.090693
-1.952551,-0.756427,24.340992
-1.836104,0.112191,24.511469
-1.806194,-0.021706,24.448359
-1.869777,-0.005849,24.499306
-2.038445,-1.708635,24.745712
-2.116685,-1.860614,24.762716
-2.009097,-1.669925,26.030567
-2.068568,-1.694684,26.082602
-1.945199,-0.208214,26.167542
-2.158813,-1.781392,26.120897
-2.030554,-1.689856,26.063509
-2.212798,-1.759000,26.273476
-2.038677,-0.197451,26.339388
-2.012462,-0.201288,26.302931
-2.085250,-0.192633,26.440853
-2.092050,-0.189296,26.467043
-2.277930,-1.753009,26.100286
-2.518626,-1.950291,26.457491
-1.808680,-2.468011,26.100449
-2.063599,-0.744032,26.975721
-2.017077,-2.544890,26.008015
-3.241890,-2.663375,26.209101
-1.233731,-2.525145,26.414145
-2.673690,-0.280039,26.627447
-2.178140,-0.368911,27.013601
-2.269585,-0.792446,26.996740
-3.302532,-1.459575,26.526094
-3.195949,-2.316964,26.117086
-2.417210,-1.957126,27.034760
-2.277042,-0.370869,27.167313
-2.052261,-2.870069,25.894691
-2.234998,-0.361827,27.092699
-2.751691,-0.289034,26.724808
-2.657458,-1.325354,25.849863
-2.498681,-1.929650,26.995728
-3.689514,-2.050961,26.954117
-0.957203,-0.526109,23.384241
-2.001917,0.439258,24.656832
-1.735026,0.311527,24.466835
-1.807347,0.286573,24.602543
-1.842575,-0.164972,24.404448
-1.871629,-0.160343,24.430157
-1.955861,0.125459,24.577534
-1.777374,0.188634,24.703699
-1.776995,0.113859,24.681393
-1.786086,0.284438,24.517307
-1.775098,0.269285,24.696964
-1.936366,0.183825,24.877832
-1.854131,0.125933,24.762777
-1.833221,0.165266,25.062849
-2.137776,-1.747194,24.843197
-1.924475,0.136351,25.238689
-2.010793,-1.223044,24.889891
-1.881781,0.109101,25.204678
-2.210098,-2.431858,24.934803
-1.693414,-0.346118,26.997025
-1.681819,-0.360171,26.900986
-1.379897,-0.335413,26.358704
-1.616664,-0.396101,26.570522
